,city,latitude,longitude,weather,max_temp,humidity,windspeed,cloudiness,country,date
0,sri aman,1.2376,111.4621,84.25,84.25,74,2.3,40,MY,1660623818
1,bluff,-46.6,168.3333,56.8,56.8,72,4.12,30,NZ,1660623819
2,bredasdorp,-34.5322,20.0403,47.43,47.43,63,5.01,100,ZA,1660623819
3,salalah,17.0151,54.0924,77.09,77.09,94,6.91,100,OM,1660623819
4,georgetown,5.4112,100.3354,84.38,85.89,79,6.91,20,MY,1660623530
5,jamestown,42.097,-79.2353,62.29,64.71,73,4.61,75,US,1660623557
6,cayenne,4.9333,-52.3333,80.1,80.1,1,0.0,0,GF,1660623820
7,qaanaaq,77.484,-69.3632,38.39,38.39,74,2.91,100,GL,1660623820
8,bakal,54.9417,58.8083,57.61,57.61,60,3.06,0,RU,1660623820
9,thompson,55.7435,-97.8558,66.36,66.36,77,0.0,40,CA,1660623820
10,hofn,64.2539,-15.2082,46.38,46.38,63,9.28,9,IS,1660623821
11,carnarvon,-24.8667,113.6333,68.07,68.07,94,8.05,100,AU,1660623634
12,bathsheba,13.2167,-59.5167,83.01,83.01,83,14.97,20,BB,1660623598
13,flinders,-34.5833,150.8552,66.16,66.18,47,7.0,8,AU,1660623821
14,ushuaia,-54.8,-68.3,37.06,37.06,75,5.75,40,AR,1660623564
15,mogadishu,2.0371,45.3438,76.87,76.87,78,13.8,20,SO,1660623781
16,namibe,-15.1961,12.1522,59.79,59.79,89,2.8,0,AO,1660623822
17,la ronge,55.1001,-105.2842,70.05,71.82,56,6.91,20,CA,1660623822
18,arman,59.7,150.1667,62.02,62.02,89,6.29,100,RU,1660623822
19,hilo,19.7297,-155.09,74.14,82.27,91,5.99,100,US,1660623822
20,busselton,-33.65,115.3333,59.52,59.52,68,22.97,100,AU,1660623823
21,sao filipe,14.8961,-24.4956,77.38,77.38,82,5.91,81,CV,1660623823
22,tiksi,71.6872,128.8694,51.15,51.15,81,5.86,96,RU,1660623823
23,khatanga,71.9667,102.5,62.44,62.44,37,14.16,8,RU,1660623824
24,east london,-33.0153,27.9116,45.54,45.54,81,9.22,0,ZA,1660623746
25,haapiti,-17.5667,-149.8667,73.13,73.13,73,9.15,99,PF,1660623824
26,lagoa,39.05,-27.9833,70.65,70.65,69,15.26,78,PT,1660623824
27,tuntum,-5.2581,-44.6489,70.81,70.81,49,2.44,2,BR,1660623825
28,westport,41.1415,-73.3579,65.23,69.57,80,6.91,0,US,1660623747
29,rikitea,-23.1203,-134.9692,73.45,73.45,77,13.69,5,PF,1660623825
30,ghatanji,20.1333,78.3167,78.71,78.71,82,16.15,100,IN,1660623825
31,port alfred,-33.5906,26.891,53.83,53.83,53,9.33,100,ZA,1660623826
32,yar-sale,66.8333,70.8333,47.37,47.37,89,15.05,100,RU,1660623826
33,mareeba,-17.0,145.4333,84.31,84.43,19,6.73,11,AU,1660623826
34,cabra,37.4725,-4.4421,65.66,65.66,60,2.17,0,ES,1660623826
35,bandarbeyla,9.4942,50.8122,78.37,78.37,71,24.81,19,SO,1660623827
36,hasaki,35.7333,140.8333,91.8,91.8,70,21.59,100,JP,1660623827
37,jeremoabo,-10.075,-38.4808,66.06,66.06,91,8.57,98,BR,1660623827
38,coahuayana,18.7333,-103.6833,77.85,77.85,86,3.13,100,MX,1660623828
39,mahebourg,-20.4081,57.7,71.89,73.26,73,11.5,40,MU,1660623828
40,mancio lima,-7.6142,-72.8958,73.09,73.09,82,2.82,5,BR,1660623828
41,touros,-5.1989,-35.4608,71.4,71.4,78,13.15,3,BR,1660623828
42,castro,-24.7911,-50.0119,64.99,64.99,51,10.47,10,BR,1660623829
43,pathein,16.7833,94.7333,81.01,81.01,86,9.44,100,MM,1660623829
44,waw,7.7029,27.9953,67.87,67.87,98,3.18,98,SS,1660623829
45,puerto ayora,-0.7393,-90.3518,69.55,69.55,93,5.01,98,EC,1660623830
46,rosario oeste,-14.8361,-56.4275,82.26,82.26,43,2.82,74,BR,1660623830
47,saint george,37.1041,-113.5841,80.17,81.19,57,3.44,0,US,1660623629
48,kaitangata,-46.2817,169.8464,57.15,57.15,69,0.81,5,NZ,1660623830
49,albany,42.6001,-73.9662,62.87,66.79,75,0.18,96,US,1660623805
50,chara,56.9064,118.2631,60.4,60.4,74,6.51,100,RU,1660623831
51,mendi,-6.1761,143.6513,70.03,70.03,56,6.6,83,PG,1660623831
52,dongsheng,39.8161,109.9776,80.26,80.26,33,9.93,4,CN,1660623628
53,coquimbo,-29.9533,-71.3436,51.53,51.53,87,2.3,0,CL,1660623831
54,ponta do sol,32.6667,-17.1,74.26,75.7,78,6.08,17,PT,1660623831
